age,N,mal.N,fem.N,mal.M,fem.M,m.m,m.f
0,130194404,67163507,63030897,0.0396,0.0356,0,0
1,128232572,66159735,62072837,0.0149452,0.0151998,0,0
2,126714817,65417949,61296868,0.011212,0.0125009,0,0
3,125649782,64896117,60753665,0.0079769,0.0088618,0,0
4,124774341,64477534,60296807,0.00645,0.0075198,0,0
5,123941080,64083836,59857244,0.006106,0.00729,0,0
6,122665468,63449803,59215665,0.0098938,0.0107185,0,0
7,121732679,62995879,58736800,0.0071541,0.0080868,0,0
8,121356887,62826652,58530235,0.0026863,0.0035168,0,0
9,120845714,62565567,58280147,0.0041556,0.0042728,0,0
10,120121904,62193928,57927976,0.00594,0.0060427,0,0
11,119608909,61929859,57679050,0.0042459,0.0042972,0,0
12,119397089,61828259,57568830,0.0016406,0.0019109,0,0
13,119089124,61659652,57429472,0.002727,0.0024207,0,0
14,118829970,61512622,57317348,0.0023845,0.0019524,0,0
15,118902396,61504909,57397487,0.0001254,-0.0013982,0.0223727,0.0209014
16,118982987,61493191,57489796,0.0001905,-0.0016082,0.0223727,0.0209014
17,119264785,61597648,57667137,-0.0016987,-0.0030847,0.0223727,0.0209014
18,119551531,61678602,57872929,-0.0013142,-0.0035686,0.0223727,0.0209014
19,119109793,61345743,57764050,0.0053967,0.0018813,0.0223727,0.0209014
20,118578042,60987456,57590586,0.0058405,0.003003,0.0669094,0.0625091
21,118765906,61004978,57760928,-0.0002873,-0.0029578,0.0669094,0.0625091
22,119300172,61157481,58142691,-0.0024998,-0.0066094,0.0669094,0.0625091
23,122579192,62906423,59672769,-0.0285974,-0.0263159,0.0669094,0.0625091
24,120582253,61625940,58956313,0.0203554,0.0120064,0.0669094,0.0625091
25,119265715,60852026,58413689,0.0125583,0.0092038,0.07271,0.0679283
26,119564254,60950124,58614130,-0.0016121,-0.0034314,0.07271,0.0679283
27,114325399,58222645,56102754,0.0447494,0.0428459,0.07271,0.0679283
28,111098061,56544252,54553809,0.0288272,0.0276091,0.07271,0.0679283
29,110027041,55896514,54130527,0.0114554,0.007759,0.07271,0.0679283
30,109234462,55429216,53805246,0.0083601,0.0060092,0.0522215,0.0487872
31,111339934,56614194,54725740,-0.0213782,-0.0171079,0.0522215,0.0487872
32,104019723,52884643,51135080,0.0658766,0.0656119,0.0522215,0.0487872
33,103413151,52548473,50864678,0.0063567,0.005288,0.0522215,0.0487872
34,101458639,51517671,49940968,0.0196162,0.0181601,0.0522215,0.0487872
35,99213017,50330307,48882710,0.0230477,0.0211902,0.0265741,0.0248265
36,98209775,49792381,48417394,0.0106879,0.009519,0.0265741,0.0248265
37,97813777,49550511,48263266,0.0048576,0.0031833,0.0265741,0.0248265
38,97773948,49504338,48269610,0.0009318,-0.0001314,0.0265741,0.0248265
39,98096033,49615773,48480260,-0.002251,-0.004364,0.0265741,0.0248265
40,97913907,49477346,48436561,0.00279,0.0009014,0.0097075,0.0090691
41,96939795,49051464,47888331,0.0086076,0.0113185,0.0097075,0.0090691
42,97265843,49277265,47988578,-0.0046033,-0.0020933,0.0097075,0.0090691
43,95641465,48308463,47333002,0.0196602,0.0136611,0.0097075,0.0090691
44,94921500,47920861,47000639,0.0080235,0.0070218,0.0097075,0.0090691
45,90613651,45746972,44866679,0.0453641,0.0454028,0.0027998,0.0026156
46,87319466,43926031,43393435,0.0398046,0.032836,0.0027998,0.0026156
47,87899068,44108403,43790665,-0.0041518,-0.0091541,0.0027998,0.0026156
48,86582134,43342805,43239329,0.0173572,0.0125903,0.0027998,0.0026156
49,86113143,43014477,43098666,0.0075751,0.0032531,0.0027998,0.0026156
50,86362724,43158567,43204157,-0.0033498,-0.0024477,0,0
